demo_slug,title,demo_description,demo_image_url
language-comparison-demo,Languages for ML/AI & Data Science,"A comparison of Python, R, SQL, Scala, Java, C++, and other programming languages for Machine Learning, AI, and Data Science workflows.","https://placehold.co/600x400/A855F7/FFFFFF?text=Lang+Compare"
oop-concepts-demo,OOP Concepts for ML/DS,"Understanding Object-Oriented Programming (OOP) principles in Python and their application in Data Science and Machine Learning libraries.","https://placehold.co/600x400/EC4899/FFFFFF?text=OOP+Concepts"
pyspark-concepts-demo,PySpark Concepts,"Learn about PySpark, the Python API for Apache Spark, used for large-scale data processing and distributed machine learning.","https://placehold.co/600x400/F97316/FFFFFF?text=PySpark"
python-concepts-demo,Python Concepts Demo,"Interactive examples of core Python concepts like lists, dictionaries, loops, and functions, relevant to data science and machine learning.","https://placehold.co/600x400/84CC16/FFFFFF?text=Python+Concepts"
pytorch-concepts-demo,PyTorch Concepts,"Learn about core PyTorch concepts for deep learning, including Tensors, Autograd, nn.Module, and training loops.","https://placehold.co/600x400/EF4444/FFFFFF?text=PyTorch"
r-concepts-demo,R Concepts for Data Science,"Learn about core R language concepts, data structures (vectors, data frames), and key packages like dplyr and ggplot2 for statistical computing and data science.","https://placehold.co/600x400/06B6D4/FFFFFF?text=R+Concepts"
ruby-concepts-demo,Ruby & Rails in ML/AI,"Learn about Ruby and the Ruby on Rails framework and how they typically integrate with external Machine Learning services via APIs.","https://placehold.co/600x400/E11D48/FFFFFF?text=Ruby+Rails"
scala-concepts-demo,Scala Concepts for Big Data & ML,"Learn about the Scala programming language, its functional features, JVM integration, and its key role in Apache Spark for Big Data and Machine Learning.","https://placehold.co/600x400/F43F5E/FFFFFF?text=Scala+Spark"
ev-charging-load-prediction-pytorch,EV Charging Load Prediction with PyTorch,"Learn about ev charging load prediction with PyTorch","https://placehold.co/600x400/F43F5E/FFFFFF?text=EV Charging+Load+Prediction"
machine-translation-seq2seq-keras,Machine Translation using Seq2Seq,"Learn about machine translation, using seq2seq and keras","https://placehold.co/600x400/F43F5E/FFFFFF?text=Machine+Translation+Demo"
ab-testing-shoefly-demo,AB Testing Shoefly Demo,"Learn about ab testing, with the shoefly demo","https://placehold.co/600x400/F43F5E/FFFFFF?text=AB+Testing+Demo"
pyspark-wikipedia-clickstream-analysis,Pyspark Wikipedia Clickstream Analysis,"Learn wikepedia clickstream analysis with pyspark.","https://placehold.co/600x400/F43F5E/FFFFFF?text=Wikipedia+Clickstream+Analysis"
